DAY,TIME,PH,SUNLIGHT,HUMIDITY,TEMPERATURE,SOIL MOISTURE,WATER LEVEL
day8,13:06.6,6.48,196,65.5,28.4,682,244
day8,23:08.2,6.56,195,66.2,28.2,681,234
day8,33:09.7,6,194,66.4,28.2,682,240
day8,43:11.3,6.37,194,65.8,28.1,681,237
day8,53:12.8,6.3,193,65.8,28,684,240
day8,03:14.3,6.45,186,65.8,28.1,681,240
day8,13:15.7,6.45,184,66.1,28,683,240
day8,23:17.1,6.37,179,65.8,27.9,684,235
day8,33:18.5,6.08,174,65.3,27.8,682,242
day8,43:19.7,6.59,167,65.8,27.9,683,245
day8,53:20.8,6.74,156,67.4,27.7,686,251
day8,03:21.8,6.59,136,66.4,27.7,682,238
day8,13:23.3,6.48,106,67.9,27.7,682,238
day8,23:24.4,6.37,57,68.1,27.6,693,252
day9,26:19.0,7.23,19,76.6,26.1,681,168
day9,36:20.5,7.27,19,76.6,26.1,683,183
day9,46:22.3,7.97,109,76.7,26.1,682,205
day9,56:24.0,7.11,147,76.5,26.1,683,213
day9,54:29.1,7.42,213,74.3,27.6,680,153
day9,04:30.5,7.94,213,74,27.6,683,208
day9,14:32.4,7.48,217,73.1,28.1,684,231
day9,24:34.2,7.66,222,70.3,29.2,682,248
day9,34:36.1,8.51,223,69.6,29.7,682,252
day9,44:38.0,8.73,223,66.6,30.6,684,250
day9,54:39.7,8.7,206,67.5,29.8,683,254
day9,04:42.0,8.84,213,67.6,29.4,684,252
day9,14:43.3,8.73,203,68.2,29.4,684,248
day9,24:45.1,8.51,218,68.8,29.2,683,248
day9,34:46.9,8.51,214,67.2,29.1,685,251
day9,44:48.7,8.62,216,67.6,28.7,683,252
day9,54:50.5,8.66,214,65.7,28.6,684,246
day9,04:52.4,8.25,218,66.6,28.7,684,243
day9,14:54.2,8.14,218,66.4,29,682,241
day9,24:56.0,8.07,218,66.8,29,684,245
day9,34:57.8,8.25,218,64.8,29.3,684,245
day9,44:59.6,8.14,218,64.4,29.3,684,246
day9,55:01.4,8.25,216,65.5,29.1,682,245
day9,05:03.2,8.22,216,65.6,29.1,684,238
